Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;09.05.1982-02:00;09.05.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;17.05.1982-14:00;17.05.1982-14:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;21.05.1982-06:00;21.05.1982-06:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;23.05.1982-21:00;23.05.1982-21:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.05.1982-15:00;28.05.1982-15:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;10.06.1982-10:00;10.06.1982-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;14.06.1982-23:00;14.06.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;18.06.1982-22:00;18.06.1982-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;25.06.1982-16:00;25.06.1982-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;26.06.1982-11:00;26.06.1982-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;04.07.1982-02:00;04.07.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;05.07.1982-16:00;05.07.1982-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;05.07.1982-19:00;05.07.1982-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;05.07.1982-23:00;05.07.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;10.07.1982-22:00;10.07.1982-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;11.07.1982-10:00;11.07.1982-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.07.1982-03:00;13.07.1982-03:00;1;;eor;                                                                                                                                       
